Facility ID,Facility Name,Short Description,Description,Facility Open Date,Facility Address 1,Facility Address 2,Facility City,Facility State,Facility Zip Code,Facility Phone Number,Facility Fax Number,Facility Website,Facility County Code,Facility County,Regional Office ID,Regional Office,Main Site Name,Main Site Facility ID,Operating Certificate Number,Operator Name,Operator Address 1,Operator Address 2,Operator City,Operator State,Operator Zip Code,Cooperator Name,Cooperator Address,Cooperator Address 2,Cooperator City,Cooperator State,Cooperator Zip Code,Ownership Type,Facility Latitude,Facility Longitude,Facility Location
6016,New York Neuro & Rehab Center,DTC,Diagnostic and Treatment Center,07/08/1996,4468-4474 Broadway,,New York,New York,10040,2125697144,,,7093,New York,5,Metropolitan Area Regional Office - New York City,,,7002150R,"Uptown Health Care Management, Inc",4464-4474 Broadway,,New York,New York,10040,,,,,New York,,Business Corporation,40.857269,-73.932274,"(40.857269, -73.932274)"
13373,You First Home Care LLC,LHCSA,Licensed Home Care Services Agency,03/03/2020,210 Canal Street,Room 501,New York,New York,10013,9172620071,9299902404,,7093,New York,5,Metropolitan Area Regional Office - New York City,,,2214L001,You First Home Care LLC,210 Canal Street,Room 501,New York,New York,10013,,,,,New York,,LLC,40.717028,-73.999031,"(40.717028, -73.999031)"
7057,Premier Healthcare D & T Center,DTC,Diagnostic and Treatment Center,03/26/1997,220 East 42nd Street,,New York,New York,10017,2128680668,,,7093,New York,5,Metropolitan Area Regional Office - New York City,,,7002154R,"Premier Healthcare, Inc",460 West 34th Street,,New York,New York,10001,,,,,New York,,Not for Profit Corporation,40.754345,-73.998718,"(40.754345, -73.998718)"
9625,The Preston Robert Tisch Center for Men's Health at NYU Langone,HOSP-EC,Hospital Extension Clinic,01/15/2014,555 Madison Avenue,,New York,New York,10016,6467542000,6467549690,,7093,New York,5,Metropolitan Area Regional Office - New York City,NYU Langone Hospitals,1463,7002053H,NYU Langone Hospitals,550 First Avenue,,New York,New York,10016,,,,,New York,,Not for Profit Corporation,40.761307,-73.972992,"(40.761307, -73.972992)"
3975,New York-Presbyterian Hospital - Allen Hospital,HOSP,Hospital,07/18/1988,5141 Broadway,,New York,New York,10034,2129324000,,,7093,New York,5,Metropolitan Area Regional Office - New York City,New York-Presbyterian Hospital - New York Weill Cornell Center,1458,7002054H,The New York and Presbyterian Hospital,622 West 168th Street,,New York,New York,10032,,,,,New York,,Not for Profit Corporation,40.872475,-73.912773,"(40.872475, -73.912773)"
1537,Washington Heights Health Center,DTC-EC,Diagnostic and Treatment Center Extension Clinic,09/27/1979,600 West 168th St,,New York,New York,10032,2123045429,,,7093,New York,5,Metropolitan Area Regional Office - New York City,New York City Department of Health and Mental Hygiene,1339,7002112R,City of New York,250 Church Street,,New York,New York,10013,,,,,New York,,Municipality,40.841106,-73.939987,"(40.841106, -73.939987)"
13310,"Cl Healthcare, Inc.",LHCSA,Licensed Home Care Services Agency,04/24/2013,375 Grand Street,,New York,New York,10002,2122603640,2122604580,http://www.centerlight.org/,7093,New York,5,Metropolitan Area Regional Office - New York City,,,2112L005,"Cl Healthcare, Inc.",1250 Waters Place,Tower 1 Suite 602,Bronx,New York,10461,,,,,New York,,Not for Profit Corporation,40.716398,-73.988614,"(40.716398, -73.988614)"
10360,PS 171 Patrick Henry Preparatory School,HOSP-SB,School Based Hospital Extension Clinic,09/20/2019,19 East 103rd Street,,New York,New York,10029,7186308526,,,7093,New York,5,Metropolitan Area Regional Office - New York City,NYU Langone Hospitals,1463,7002053H,NYU Langone Hospitals,550 First Avenue,,New York,New York,10016,,,,,New York,,Not for Profit Corporation,40.792294,-73.951449,"(40.792294, -73.951449)"
7511,Michael Callen-Audre Lorde Community Health Center,DTC,Diagnostic and Treatment Center,03/02/1998,356 West 18th Street,,New York,New York,10011,2122717250,,,7093,New York,5,Metropolitan Area Regional Office - New York City,,,7002160R,"Community Health Project, Inc",356 West 18th Street,,New York,New York,10011,,,,,New York,,Not for Profit Corporation,40.743156,-74.003014,"(40.743156, -74.003014)"
5721,Mt Sinai Adolescent Health Center,HOSP-EC,Hospital Extension Clinic,03/03/1995,320 East 94th St,,New York,New York,10128,2122417005,,,7093,New York,5,Metropolitan Area Regional Office - New York City,Mount Sinai Hospital,1456,7002024H,The Mount Sinai Hospital,One Gustave L Levy Place,,New York,New York,10029,"Mount Sinai Hospitals Group, Inc.",One Gustave L. Levy Place,,New York,New York,10029,Not for Profit Corporation,40.782509,-73.947136,"(40.782509, -73.947136)"
15588,"Alpha Ambulatory Surgery Center, LLC",DTC,Diagnostic and Treatment Center,02/02/2024,110 East 60th Street,,New York,New York,10065,8772574272,,,7093,New York,5,Metropolitan Area Regional Office - New York City,,,7002824R,"Alpha Ambulatory Surgery Center, LLC",110 Est 60th Street,,New York,New York,10065,,,,,New York,,LLC,,,
9490,Manhattan Surgery Center,DTC,Diagnostic and Treatment Center,04/01/2013,619 West 54th Street,,New York,New York,10019,2122317778,2125811870,,7093,New York,5,Metropolitan Area Regional Office - New York City,,,7002199R,"Roosevelt Surgery Center, LLC","619 West 54th Street, Suite 602",,New York,New York,10019,,,,,New York,,LLC,40.769203,-73.994598,"(40.769203, -73.994598)"
12749,"Premier Home Health Care Services, Inc.",LHCSA,Licensed Home Care Services Agency,03/15/2002,5 Bryant Park 5th Floor,1065 Avenue of the Americas,New York,New York,10018,2122847700,2122735553,www.premierhomehealthcare.com,7093,New York,5,Metropolitan Area Regional Office - New York City,,,1086L001,"Premier Home Health Care Services, Inc.",1430 Broadway,Suite 1615,New York,New York,10018,,,,,New York,,Business Corporation,,,
6415,PS7 - MS Stern,,School Based Diagnostic and Treatment Center Extension Clinic,04/01/2000,160 East 120th Street,,New York,New York,10035,2128763690,,,7093,New York,5,Metropolitan Area Regional Office - New York City,East Harlem Council for Human Services Inc,1512,7002217R,East Harlem Council for Human Services Inc,2253 Third Avenue,,New York,New York,10035,,,,,New York,,Not for Profit Corporation,40.800926,-73.939255,"(40.800926, -73.939255)"
